あい|愛|love
しろ|城|castle
しんがく|進学|going on to university
しんけい|神経|nerve, sensitivity
しんけん|真剣|seriousness, earnestness
しんこう|信仰|(religious) faith, belief, creed
しんごう|信号|traffic lights, signal
じんこう|人工|artificial, manmade
しんこく|深刻|serious
しんさつ|診察|medical examination
じんしゅ|人種|race (of people)
しんじる|信じる|to believe
じんせい|人生|(human) life (i.e. conception to death)
しんせき|親戚|relative
しんせん|新鮮|fresh
しんぞう|心臓|heart
しんたい|身体|the body
しんちょう|身長|height (of body), stature
しんちょう|慎重|discretion, prudence
しんぱい|心配|worry, concern, anxiety
しんぱん|審判|trial, judgement, referee
じんぶつ|人物|character, personality, person
しんぽ|進歩|progress, development
しんゆう|親友|close friend, buddy
しんよう|信用|confidence, dependence, credit, faith
しんらい|信頼|reliance, trust, confidence
しんり|心理|mentality
じんるい|人類|mankind, humanity
す|巣|nest
ず|図|figure (e.g. Fig 1),picture, illustration
すいじゅん|水準|(1) water level||(2) level, standard
すいせん|推薦|recommendation
スイッチ||switch
ずいぶん|随分|extremely
すいみん|睡眠|sleep
すう|数|number, figure
すうじ|数字|numeral, figure
スープ||(Western) soup
すえ|末|the end of, powder
すがた|姿|figure, shape, appearance
スキー||skiing
すく|空く|(1) to open, to become empty||(2) to be less crowded
すくう|救う|to rescue from, to help out of
すぐれる|優れる|to surpass, to outstrip, to excel
スケート||skate(s), skating
すごい||terrific, amazing, great
すこしも|少しも|anything of, not one bit
すごす|過ごす|to pass, to spend, to go through
すじ|筋|muscle, string, line
すすめる|進める|to advance, to promote ,to hasten
すすめる|勧める|to recommend, to encourage
スター||star
スタイル||style
スタンド||stand
ずつう|頭痛|headache
ずっと||consecutively, throughout, a lot
すてき||lovely, dreamy, beautiful, great
すでに|既に|already, too late
すなわち||that is, namely, i.e.
すばらしい|素晴らしい|wonderful, splendid, magnificent
スピーチ||speech
すべて|全て|all, the whole, entirely
すませる|済ませる|to be finished
すみ|角|horn
する||to do; to carry out; to perform
すると|すると|thereupon, hereupon
するどい|鋭い|pointed, sharp
せい|背|height, stature
せい|正|(logical) true, regular
せい|生|(1) draft (beer) ||(2) raw, unprocessed
せい|性|sex, gender
せい|所為|cause, reason, fault
ぜい|税|tax
せいかく|性格|character, personality
せいかく|正確|accurate, exactness
せいき|世紀|century, era
せいきゅう|請求|claim, demand, charge, billing
ぜいきん|税金|tax, duty
せいけつ|清潔|clean
せいげん|制限|restriction, restraint, limitation
せいこう|成功|success, hit
せいさん|生産|production, manufacture
せいしき|正式|official, formality
せいしん|精神|mind, soul, spirit
せいじん|成人|adult
せいぜい|精々|at the most, at best
せいせき|成績|results, record
せいぞう|製造|manufacture, production
ぜいたく|贅沢|luxury, extravagance
せいちょう|成長|growth, grow to adulthood
せいど|制度|system, institution, organization
せいねん|青年|youth, young man
せいひん|製品|manufactured goods, finished goods
せいふ|政府|government, administration
せいぶつ|生物|raw food
せいめい|生命|life, existence
せいり|整理|sorting, arrangement, adjustment
せき|咳|cough
せきたん|石炭|coal
せきにん|責任|duty, responsibility
せきゆ|石油|oil, petroleum, kerosene
せけん|世間|world, society
せつ|説|theory
せっきょくてき|積極的|positive, active, proactive
せっけい|設計|plan, design
ぜったい|絶対|absolute, unconditional, absoluteness
セット||set
せつび|設備|equipment, device,||facilities, installation
ぜつめつ|絶滅|destruction, extinction
せつやく|節約|economising, saving
ぜひ|是非|certainly, without fail
せめる|責める|to condemn, to blame, to criticize
せわ|世話|looking after, help, aid, assistance
ぜん|善|good, goodness, right, virtue
ぜん|全|all, whole, entire, complete
ぜんいん|全員|all members (unanimity),||all hands,the whole crew
せんこう|専攻|major subject, special study
ぜんこく|全国|country-wide, nation-wide
せんじつ|先日|the other day, a few days ago
ぜんしゃ|前者|the former
せんしゅ|選手|player (in game)
ぜんしん|前進|advance, drive, progress
ぜんぜん|全然|(1) wholly, entirely, completely||(2) not at all (with neg. verb)
センター||a center
ぜんたい|全体|whole, entirety
せんたく|選択|selection, choice
そう|そう|so
ぞう|象|elephant
そうおん|騒音|noise
ぞうか|増加|increase, addition
そうさ|操作|operation, management, processing
そうじ|掃除|cleaning, sweeping
そうぞう|想像|imagination, guess
そうぞく|相続|succession, inheritance
そうだん|相談|consultation, discussion
そうち|装置|equipment, installation, apparatus
そうとう|相当|suitable, being equivalent to
そくど|速度|speed, velocity, rate
そこ|底|bottom, sole
そこで||so (conj), accordingly, now, then
そしき|組織|organization, structure,  tissue
そして||and
そそぐ|注ぐ|to pour into
そだつ|育つ|to be raised (e.g. child);||to be brought up; to grow (up)
そっくり||all, altogether; be just like
そっと||face of the earth
そで|袖|sleeve
そなえる|備える|to furnish, to equip; to prepare for
その|その|the, that
そのうち||eventually, sooner or later
そのまま||without change, as it is
そば|側|side, edge, third person
ソファー||sofa, couch
そまつ|粗末|rough, plain, humble
それぞれ||each, respectively
それでも||but (still), and yet, even so
それとも||or, or else
そん|損|loss, disadvantage
そんがい|損害|damage, injury, loss
そんけい|尊敬|respect, esteem, honour
そんざい|存在|existence, being
そんちょう|尊重|respect, esteem, regard
た|田|rice field
た|他|other (esp. places and things)
たい|対|opposite; opposition; versus
だい|大|large; big; great
だい|台|stand, rack, table
だい|題|title, subject, theme, topic
たいいく|体育|physical education, gymnastics
たいおん|体温|temperature (body)
たいか|大家|master; expert
たいかい|大会|convention, tournament
たいき|大気|atmosphere
だいきん|代金|price, payment, charge
たいくつ|退屈|tedium, boredom
たいざい|滞在|stay
たいし|大使|ambassador
たいした|大した|considerable, great, significant
たいしょう|対象|target, object (of worship, study, etc),||subject (of taxation, etc)
だいじん|大臣|cabinet minister
たいする|対する|to face, to confront, to oppose
たいせん|大戦|great war, great battle
たいてい|大抵|usually, generally
たいど|態度|attitude, manner
だいとうりょう|大統領|president, chief executive
たいはん|大半|majority, mostly, generally
だいひょう|代表|representative, representation
だいひょうしゃ|代表者|representative
だいぶぶん|大部分|most part, greater part, majority
タイプライター||typewriter
たいへん|大変|awful, dreadful, terrible
たいほ|逮捕|arrest, apprehension, capture
ダイヤ||(railway) schedule; diamond
たいよう|太陽|sun, solar
たいら|平ら|flatness, level, smooth
だいり|代理|representation, agency ,proxy
たいりく|大陸|continent
たおす|倒す|to throw down, to beat, to bring down
タオル||(hand) towel
だが|だが|but; however; (and) yet
たがい|互い|mutual, reciprocal
たから|宝|treasure
だから|だから|so, therefore
たく|宅|house, home, husband
だけど||however
たしかめる|確かめる|to ascertain
たしょう|多少|more or less, somewhat
たすける|助ける|to help, to save, to rescue
ただ||free of charge, mere, only
ただ|只|ordinary; common; usual
たたかい|戦い|battle, fight, conflict
たたかう|戦う|to fight, to battle, to combat
たたく|叩く|to strike, to clap, to beat
ただちに|直ちに|at once, immediately
たちあがる|立ち上がる|to stand up
たちば|立場|standpoint, position, situation
たつ|経つ|to pass, to lapse
たっする|達する|to reach, to get to
たった|唯|only; merely; but; no more than
だって||but, because, even
たっぷり||full, in plenty, ample
たて|縦|length, height
たとえ||simile, metaphor, allegory
たに|谷|valley
たにん|他人|another person, outsider, stranger
たね|種|seed; cause; source
たば|束|handbreadth, bundle
たび|度|counter for occurrences
たび|旅|travel, trip, journey
たびたび||often, repeatedly, frequently
たぶん|多分|perhaps, probably
たま|玉|ball, sphere, coin
たま|球|globe, sphere, ball
たま|弾|bullet, shot, shell
たま|偶|occasional; infrequent; rare
たまたま|偶々|unexpectedly, accidentally, by chance
たまらない||intolerable, unbearable, unendurable
だまる|黙る|to be silent
だめ|駄目|useless, no good, hopeless
ためし|試し|trial, test
ためす|試す|to attempt, to test
たより|便り|news, tidings, letter
たよる|頼る|to rely on, to depend on
だれか|誰か|someone, somebody
だん|段|step, grade, rank, level
たんい|単位|unit, credit (in school)
たんご|単語|word, vocabulary
だんし|男子|youth, young man
たんじゅん|単純|simplicity
たんじょう|誕生|birth
ダンス||dance
だんたい|団体|organization, association
たんとう|担当|(in) charge
たんなる|単なる|mere, simple, sheer
たんに|単に|simply, merely, only, solely
ち|地|earth
ちい|地位|(social) position, status
ちいき|地域|area, region
チーズ||cheese
チーム||team
ちえ|知恵|wisdom, wit, intelligence
ちか|地下|basement, underground
ちがい|違い|difference, discrepancy
ちがいない|違いない|no mistaking it, for certain
ちかごろ|近頃|lately, recently, nowadays
ちかみち|近道|short way, shortcut
ちからづよい|力強い|powerful, strong
ちきゅう|地球|the earth
ちく|地区|district, section, sector
ちこく|遅刻|lateness, late coming
ちじ|知事|prefectural governor
ちしき|知識|knowledge, information
ちちおや|父親|father
ちのう|知能|intelligence, brains
ちへいせん|地平線|horizon
ちほう|地方|area, region
ちゃ|茶|tea
チャンス||chance, opportunity
ちゃんと||perfectly, properly, exactly
ちゅう|中|inside, middle, among
ちゅう|注|annotation, explanatory note
ちゅうおう|中央|central, center, middle
ちゅうがく|中学|middle school, junior high school
ちゅうかん|中間|middle, midway, center
ちゅうこ|中古|used, second-hand, old
ちゅうし|中止|suspension, discontinuance,||interruption
ちゅうしゃ|駐車|parking (e.g. car)
ちゅうしょく|昼食|lunch, midday meal
ちゅうしん|中心|center, core, heart
ちゅうしんち|中心地|center, metropolis
ちゅうもく|注目|notice, attention, observation
ちゅうもん|注文|order, request
ちょうき|長期|long time period
ちょうさ|調査|investigation, examination, survey
ちょうし|調子|tune, tone
ちょうしょ|長所|strong point, merit, virtue
ちょうじょう|頂上|top, summit, peak
ちょうだい||receiving; reception;||please; please do for me
ちょきん|貯金|(bank) savings
ちょくせつ|直接|direct, immediate, firsthand
ちょしゃ|著者|author, writer
ついに|遂に|finally, at last
つうか|通過|passage through, passing
つうがく|通学|commuting to school
つうこう|通行|passage, passing
つうじる|通じる|to lead to, to understand
つうしん|通信|communication, news, signal
つかまる|捕まる|to be caught, to be arrested
つかむ|掴む|to seize, to catch, to grasp
つかれ|疲れ|tiredness, fatigue
つき|月|moon, month
つきあい|付き合い|association, socializing, fellowship
つぎつぎ|次々|in succession, one by one
つく|就く|to settle in (place), to take (seat, position)
つぐ|注ぐ|to pour (into), to irrigate, to pay
つける|付ける|to attach, to append
つち|土|earth, soil
つづき|続き|sequel, continuation
つつみ|包み|bundle, package, parcel
つとめ|勤め|duty, business, responsibility, task
つとめ|務め|service, duty
つなぐ|繋ぐ|to tie, to connect, to transfer a call
つねに|常に|always, constantly
つばさ|翼|wings
つまり||in short, in brief, in other words
つみ|罪|crime, fault, indiscretion
つめる|詰める|to pack
つもる|積もる|to pile up
つゆ|梅雨|rainy season in Japan
つらい|辛い|painful, heart-breaking
つり|釣|fishing
つれ|連れ|companion, company
で|出|outflow, coming (going) out;||origins, originating from
であい|出会い|meeting, rendezvous, encounter
であう|出会う|to come across, to encounter
ていあん|提案|proposal, proposition, suggestion
ていき|定期|fixed term
ていこう|抵抗|resistance, opposition
ていしゅつ|提出|presentation, submission, filing
ていど|程度|degree, amount, grade, standard
ていりゅうじょ|停留所|bus or tram stop
デート||date, go on a date
てき|敵|enemy, rival
できごと|出来事|incident, affair, happening, event
てきする|適する|to fit, to suit
てきせつ|適切|pertinent, appropriate, adequate
てきど|適度|moderate
てきよう|適用|applying
できるだけ|出来るだけ|as much as possible
できれば||if possible
てじな|手品|trick, magic, juggling
ですから||therefore
てつ|鉄|iron
てつがく|哲学|philosophy
てつだい|手伝い|help, helper, assistant
てってい|徹底|thoroughness, completeness
てつどう|鉄道|railroad
てつや|徹夜|all night, sleepless night
てま|手間|time, labour
でも|でも|but, however
デモ||demo, demonstration
てんけい|典型|type, pattern, archetypal
てんこう|天候|weather
でんきゅう|電球|light bulb
でんごん|伝言|verbal message
でんし|電子|electron
でんしれんじ|電子レンジ|microwave oven
でんち|電池|battery, cell
テント||tent
でんとう|伝統|tradition, convention
てんねん|天然|nature, spontaneity
ど|度|degree; counter for occurrences
とい|問い|question, query
とう|党|party (political)
とう|塔|tower, pagoda
とうあん|答案|examination paper
どういつ|同一|identity, sameness, similarity
どうか|銅貨|copper coin
どうきゅうせい|同級生|Classmate
とうじ|当時|at that time, in those days
どうし|動詞|verb
どうじ|同時|simultaneous(ly), concurrent
どうしても||at any cost, no matter what
とうちゃく|到着|arrival
どうとく|道徳|morals
とうひょう|投票|voting, poll
どうよう|同様|identical, equal to
どうりょう|同僚|coworker, colleague, associate
どうろ|道路|road, highway
とお|十|10, ten
とおす|通す|to let pass, to overlook, to continue
とおり|通り|in accordance with ~, following ~|| ~ Street,~ Avenue
とおりすぎる|通り過ぎる|to pass, to pass through
とかい|都会|city
とき|時|(1) time, hour||(2) occasion, moment
とく|解く|to untie; to unfasten; to solve
どく|毒|poison, toxicant
とくい|得意|pride, triumph, prosperity
どくしょ|読書|reading
どくしん|独身|single, unmarried, celibate
とくちょう|特徴|feature, characteristic
どくとく|独特|peculiarity, uniqueness, characteristic
どくりつ|独立|independence; self-support
とける|解ける|to come untied, to come apart
どこか||somewhere, anywhere
ところが||however, while, even if
ところで||by the way
とざん|登山|mountain-climbing
とし|都市|city, municipal, urban
としつき|年月|months and years
としょ|図書|books
としより|年寄|old people, the aged
とじる|閉じる|to close (e.g. book, eyes), to shut
とたん|途端|just (now, at the moment, etc.)
とち|土地|plot of land, lot, soil
とつぜん|突然|abruptly, suddenly, unexpectedly
トップ||top
とどく|届く|to reach
とにかく||anyhow, anyway
とばす|飛ばす|to skip over, to omit
とびだす|飛び出す|to jump out, to rush out, to fly out
とめる|留める|to fasten, to turn off, to detain
とも|友|friend, companion, pal
ともに|共に|sharing with, participate in
どよう|土曜|Saturday
とら|虎|tiger
ドライブ||drive, trip by car, driving
トラック||(1) truck, (2) (running) track
ドラマ||drama
トランプ||playing cards (lit: trump)
とりあげる|取り上げる|to take up (a topic, complaint, etc)||to pick up, to take away
どりょく|努力|great effort, endeavour, effort
どれ|どれ|well, now, let me see
ドレス||dress
とれる|取れる|to come off, to be taken off||to be removed
どろ|泥|mud
とん||ton (usu. a metric ton, i.e. 1,000kg)
とんでもない||unexpected; absolutely not!
どんな||what, what kind of
どんなに||how, how much
トンネル||tunnel
な|名|name, reputation
ないよう|内容|contents, matter, detail
なお||still; yet
なか|仲|relation, relationship
ながす|流す|to drain, to float, to shed (blood, tears)
なかなか||very; considerably; easily
なかば|半ば|middle, half, halfway
なかま|仲間|company, fellow, colleague
ながめ|眺め|scene, view, outlook
ながめる|眺める|to view, to gaze at
ながれ|流れ|stream, current
ながれる|流れる|to stream, to flow, to be washed away
なし|無し|without
なぜなら||because
なぞ|謎|riddle, puzzle, enigma
なっとく|納得|consent, assent, understanding
など|等|etc., and the like
なな|七|seven
なに|何|what
なん|何|what
なにか|何か|something
なにも||nothing
なべ|鍋|saucepan, pot
なま|生|(1) draft (beer)||(2) raw, unprocessed
なまける|怠ける|to be idle, to neglect
なみ|波|wave
なみだ|涙|tear
なやむ|悩む|to be worried, to be troubled
なる|成る|to become
なわ|縄|rope, hemp
なんで|何で|Why?, What for?
なんでも|何でも|by all means, everything
なんとか|何とか|somehow, anyhow
にあう|似合う|to suit, to match, to become
におい|匂い|odour, scent, smell
にがて|苦手|poor (at), weak (in), dislike (of)
にぎる|握る|to grasp, to seize
にち|日|sun, sunshine, day
にちじょう|日常|ordinary, regular
にちよう|日曜|Sunday
にっこう|日光|sunlight
にっちゅう|日中|daytime, broad daylight
にっこり||smile sweetly, smile
にっぽん|日本|Japan
にほん|日本|Japan
にゅういん|入院|hospitalization
にゅうがく|入学|entry to school
にゅうじょう|入場|entrance, admission, entering
にゅうりょく|入力|input; (data) entry
にんき|人気|popularity; public favor
にんげん|人間|human being, man, person
ぬく|抜く|to extract, to draw out, to unplug
ぬける|抜ける|to come out, to fall out
ぬの|布|cloth
ぬれる|濡れる|to get wet
ね|根|root
ね|値|value, price, cost
ねがい|願い|desire, wish, request
ねがう|願う|to desire, to wish, to request
ねずみ|鼠|mouse, rat
ねだん|値段|price, cost
ねっしん|熱心|zeal, enthusiasm
ねったい|熱帯|tropics
ねっちゅう|熱中|enthusiasm, zeal, mania
ねんかん|年間|year
ねんげつ|年月|months and years
ねんじゅう|年中|whole year, always, everyday
ねんだい|年代|age, era, period
ねんれい|年齢|age, years
の|野|field
のう|能|being skilled in, nicely, properly
のうか|農家|farmer, farm family
のうぎょう|農業|agriculture
のうみん|農民|farmers, peasants
のうりょく|能力|ability, faculty
のき|軒|eaves
のこす|残す|to leave behind, to reserve
のこり|残り|residue, remaining, left-over
のせる|乗せる|to place on something, to take on board
のぞく|除く|to remove, to exclude, to except
のぞみ|望み|wish, desire, (a) hope
のぞむ|望む|to desire, to wish for
のち|後|afterwards, since then, in the future
ノック||(1) knock, (2) fungo (baseball)
のど|喉|throat
のばす|伸ばす|to lengthen, to stretch, to reach out
のびる|伸びる|to stretch, to extend
のべる|述べる|to state, to express, to mention
のぼる|昇る|to arise, to ascend, to go up
のんびり||carefree, at leisure
ば|場|place, field (physics)
パーセント||percent
はい|灰|ash
ばいう|梅雨|rainy season in Japan
バイオリン||violin
ハイキング||hiking
はいたつ|配達|delivery, distribution
パイプ||pipe, tube
はいゆう|俳優|actor, performer
パイロット||pilot
はか|墓|grave, tomb
ばか|馬鹿|fool, idiot
はかせ|博士|doctorate, PhD
はかる|計る|to measure, to weigh, to survey
はく|履く|to wear, to put on (lower body)
はく|吐く|to breathe out; to vomit
はくしゅ|拍手|clapping hands, applause
ばくだい|莫大|enormous, vast
ばくはつ|爆発|explosion, detonation, eruption
はくぶつかん|博物館|museum
はげしい|激しい|violent, vehement, intense
はさみ||scissors
はさん|破産|(personal) bankruptcy
はし|端|end, edge, tip
はじまり|始まり|origin, beginning
パス||path, pass (in games)
はずす|外す|to unfasten, to remove
パスポート||passport
はた|旗|flag
はだ|肌|skin
はだか|裸|naked, nude
はたけ|畑|field
はたち|二十|20 years old, 20th year
はたらき|働き|work, labor
バッグ||bag, bug
はっけん|発見|discovery, detection, finding
はっこう|発行|issue (publications)
はっしゃ|発車|departure of a vehicle
ばっする|罰する|to punish, to penalize
はったつ|発達|development, growth
ばったり||with a clash; with a thud;||unexpectedly (meeting someone)
はってん|発展|development, growth
はっぴょう|発表|announcement, publication
はつめい|発明|invention
はなしあう|話し合う|to discuss, to talk together
はなす|離す|to part, divide, separate
はなす|放す|to separate, to set free
はなれる|離れる|to be separated from, to go away
はね|羽|feather; wing
はば|幅|width, breadth
ははおや|母親|mother
はぶく|省く|to omit, to eliminate
ばめん|場面|scene, setting (e.g. of novel)
はら|腹|abdomen, belly, stomach
はら|原|field, plain, wilderness
はり|針|needle, hand (e.g. clock)
はる|張る|to stick, to paste
ばん|番|number (in a series)|| one's turn
バン||van (caravan)
はんい|範囲|extent, scope, range
はんこう|反抗|opposition, resistance
はんざい|犯罪|crime
ハンサム||handsome
はんだん|判断|judgement, decision
はで|派手|showy; loud; flashy
はんにん|犯人|offender, criminal
はんばい|販売|sale, selling, marketing
ひ|灯|light
ビール||beer
ひがい|被害|damage
ひかく|比較|comparison
ひく|轢く|to run somebody over with vehicle
ピクニック||picnic
ひげき|悲劇|tragedy
ひこう|飛行|aviation
ひざ|膝|knee, lap
ひじょう|非常|emergency, extraordinary, unusual
びじん|美人|beautiful person (woman)
ひたい|額|forehead, brow
びっくり||be surprised, be amazed
ひづけ|日付|date, dating
ひっし|必死|inevitable death, desperation, frantic
ぴったり||exactly, neatly, sharp
ひっぱる|引っ張る|to pull, to draw, to stretch, to drag
ひてい|否定|negation, denial, repudiation
ビデオ||video
ひとこと|一言|single word
ひとごみ|人込み|crowd of people
ひとしい|等しい|equal
ひとり|独り|alone, unmarried
ひとりひとり|一人一人|one by one, one at a time
ひはん|批判|criticism, judgement, comment
ひひょう|批評|criticism, review, commentary
ひみつ|秘密|secret, secrecy
びみょう|微妙|delicate, subtle
ひも|紐|string, cord
ひよう|費用|cost, expense
ひょう|表|table (e.g. Tab 1), chart
びょう|秒|second (60th min)
ひょうか|評価|valuation, estimation, assessment, evaluation
ひょうげん|表現|expression, presentation
ひょうじょう|表情|facial expression
びょうどう|平等|equality, impartiality, evenness
ひょうばん|評判|fame, reputation, popularity
ひょうめん|表面|surface, outside, face, appearance
ひろがる|広がる|to spread (out), to extend
ひん|品|thing, goods, dignity
びん|瓶|bottle
びん|便|flight; train trip||mail; letter
ピン||pin
ふ|不|un, non, negative prefix
ぶ|不|un, non, negative prefix
ぶ|無|nothing, naught, nil, zero
ぶ|分|dividing, part
ふあん|不安|anxiety, uneasiness, insecurity
ふうけい|風景|scenery
ふうふ|夫婦|married couple, husband and wife
ふえ|笛|flute, pipe
ふか|不可|wrong, bad, improper
ふかのう|不可能|impossible
ぶき|武器|weapon, arms
ふくそう|服装|garments
ふくむ|含む|to contain; to include
ふくろ|袋|bag, sack
ふこう|不幸|unhappiness, misfortune, death
ふし|節|tune, tone, knot, knob
ぶじ|無事|safety, peace, quietness
ふしぎ|不思議|mystery, curiosity
ふじゆう|不自由|disability, inconvenience, destitution
ふじん|夫人|wife, Mrs, madam
ふじん|婦人|woman, female
ふせい|不正|injustice, unfairness
ふせぐ|防ぐ|to defend, to protect, to prevent
ふそく|不足|insufficiency, shortage
ぶたい|舞台|stage (theatre)
ふたご|双子|twins, a twin
ふたたび|再び|again, once more
ふだん|普段|usually, habitually, ordinarily
ふち|縁|rim; brim; edge
ぶつ|打つ|to hit, to strike
ぶつかる|打つかる|to strike against, to collide with
ぶっか|物価|prices of commodities,||prices (in general)
ぶっしつ|物質|material, substance
ぶつり|物理|physics
ふで|筆|writing brush
ふと|ふと|suddenly, accidentally, unexpectedly
ふね|船|ship, boat, watercraft
ぶひん|部品|parts, components
ぶぶん|部分|portion, section, part
ふへい|不平|complaint, discontent, dissatisfaction
ふまん|不満|dissatisfaction, displeasure, discontent
ふよう|不要|unnecessary, unneeded
プラス||plus; addition
プラン||plan
ふり|不利|disadvantage, handicap, unfavorable
ふる|振る|to wave; to allocate (work)
ふるえる|震える|to shiver, to shake, to quake
ブレーキ||a brake
ふれる|触れる|to touch
ふろ|風呂|bath
プロ||professional
ぶん|分|dividing, part, segment
ぶん|文|sentence
ふんいき|雰囲気|atmosphere, mood, ambience
ぶんしょう|文章|essay, article, composition
ぶんせき|分析|analysis
ぶんめい|文明|civilization, culture
ぶんや|分野|field, sphere, realm
ぶんるい|分類|categorization, sorting
へい|塀|wall, fence
へいきん|平均|average, mean
へいわ|平和|peace, harmony
べつに|別に|(not) particularly, nothing
へらす|減らす|to decrease, to diminish
へる|減る|to decrease (in size or number)
ベルト||Belt for western clothes
へんか|変化|change; variation
ペンキ||(n) paint
べんきょう|勉強|study
へんこう|変更|change, modification, alteration
べんごし|弁護士|lawyer, attorney
ベンチ||bench
べんとう|弁当|box lunch
ほう|方|side
ほう|法|Act (law: the X Act)
ぼう|棒|pole, rod, stick
ぼうけん|冒険|risk, venture, adventure
ほうこう|方向|direction, course, way
ほうこく|報告|report
ほうせき|宝石|gem, jewel
ほうそう|放送|broadcast, broadcasting
ほうふ|豊富|abundance, wealth, plenty
ほうほう|方法|method, manner, way, means
ほうぼう|方々|persons, this and that||here and there, everywhere
ほうもん|訪問|call, visit
ほえる|吠える|to bark
ボーイ||boy
ボート||rowing boat
ホーム||(1) platform, (2) home
ボール||ball, bowl
ほか|他|other (esp. places and things)
ほか|外|other place, the rest
ほこり|誇り|pride
ほこり|埃|dust
ぼしゅう|募集|recruitment, taking applications||raising (funds)
ほしょう|保証|guarantee, assurance, warranty
ほぞん|保存|preservation, conservation
ほど|程|degree, extent, bounds, limit
ほどう|歩道|footpath, walkway, sidewalk
ほとけ|仏|Buddha, merciful person
ほね|骨|bone
ほのお|炎|flame
ほほ|頬|cheek (of face)
ほお|頬|cheek (of face)
ほぼ||almost, roughly, approximately
ほほえむ|微笑む|to smile
ほめる|褒める|to praise, to speak well
ほり|濠|moat
ほんと|本当|truth, reality
ほんとう|本当|truth, reality
ほんにん|本人|the person oneself
ほんもの|本物|genuine article
ぼんやり||absent-minded, block-head, dim
ま|間|space, room, time, pause
マーケット||market
マイク||mike
まいご|迷子|lost (stray) child
まかせる|任せる|to entrust to another, to leave to
まく|幕|curtain, bunting
まけ|負け|defeat, loss, losing (a game)
まご|孫|grandchild
まさか||by no means
まさに||correctly, surely
まじめ|真面目|diligent, serious, honest
ます|増す|to increase, to grow
まず|先ず|first (of all), to start with
まずしい|貧しい|poor, needy
マスター||master (e.g. arts, science)
ますます||increasingly, more and more
また|又|again, and
まだ|未だ|yet, still, more, besides
まち|街|town
まちがい|間違い|mistake
まつ|松|pine tree
まっか|真っ赤|deep red, flushed (of face)
まっすぐ|真っ直ぐ|straight (ahead), direct, upright
まったく|全く|really, entirely, completely
まつり|祭|festival, feast
まなぶ|学ぶ|to learn, to take lessons in
まね|真似|mimicry, imitation
まねく|招く|to invite
ママ||Mama
まめ|豆|beans, peas
まもる|守る|to protect, to obey, to guard
まる|丸|circle, perfection
まる|円|circle, money
まるい|丸い|round, circular, spherical
まるで||quite, entirely, completely
まわす|回す|to turn, to revolve
まわり|回り|circumference, surroundings
まんいち|万一|by some chance, if by any chance
まんぞく|満足|satisfaction
み|身|body, main part, oneself
み|実|fruit, content, good result
みおくり|見送り|seeing one off, farewell, escort
みかた|味方|friend, ally, supporter
みごと|見事|splendid, magnificent, admirable
ミス||miss (mistake, error, failure),Miss
みちる|満ちる|to be full; to rise (e.g. tide)
みつ|密|density; thickness
みとめる|認める|to recognize, to approve, to admit
みんな|皆|all, everyone, everybody
みまい|見舞い|enquiry, expression of sympathy
みやげ|土産|present, souvenir
みやこ|都|capital
みょう|妙|strange, unusual
みょうごにち|明後日|day after tomorrow
みらい|未来|future (life, tense)
みりょく|魅力|charm, fascination, glamour
みる|見る|to see, to watch
ミルク||milk
む|無|nothing, naught, zero
むかい|向かい|facing, opposite, across the street
むかえ|迎え|person sent to pick up an arrival
むく|向く|to face
むける|向ける|to turn towards, to point
むし|無視|disregard, ignore
むしば|虫歯|cavity, tooth decay
むしろ|寧ろ|rather, better, instead
むすぶ|結ぶ|to tie, to bind, to link
むだ|無駄|futility, uselessness
むちゅう|夢中|crazy about; obsessed with
むね|胸|breast, chest
むりょう|無料|free, no charge
め|芽|sprout
めいかく|明確|clear up, clarify, define
めいじる|命じる|to order, to command, to appoint
めいじん|名人|master, expert
めいれい|命令|order, command
めいわく|迷惑|trouble, bother, annoyance
めし|飯|(sl) meals, food
めったに|滅多に|rarely (with neg. verb), seldom
メモ||memorandum
めん|面|face, surface
めん|綿|cotton, padding
めんきょ|免許|license, permit
めんどう|面倒|trouble, difficulty, care
メンバー||member
もうしこむ|申し込む|to apply for, to make an application
もうしわけ|申し訳|apology, excuse
もうふ|毛布|blanket
もえる|燃える|to burn
もくてき|目的|purpose, goal, aim
もくひょう|目標|mark, objective, target
もくよう|木曜|Thursday
もじ|文字|letter (of alphabet), character
もしも||if
もちあげる|持ち上げる|to raise, to lift up, to flatter
もちいる|用いる|to use, to make use of
もちろん|勿論|of course, certainly, naturally
もっとも|最も|most, extremely
もっとも|尤も|but then; although; though
もと|元|(1) origin, original, (2) former
もと|基|basis
もと|素|prime
もどす|戻す|to put back, to return
もとづく|基づく|to be grounded on, to be based on
もとめる|求める|to seek, to demand, to want
もの|者|person
ものおと|物音|sounds
ものがたり|物語|tale, story, legend
ものごと|物事|things, everything
もよう|模様|pattern, figure, design
もらう|貰う|to receive
もんく|文句|phrase, complaint
やがて||before long, soon
やく|役|use, service, role, position
やく|約|approximately, about
やく|訳|translation
やくわり|役割|part, role, duties
やちん|家賃|rent
やっかい|厄介|trouble, burden, care, bother
やど|宿|inn, lodging
やとう|雇う|to employ, to hire
やね|屋根|roof
やはり||even so, as I thought
やぶる|破る|to tear, to violate, to defeat
やめる|辞める|to resign; to retire; to quit
やや||a little, partially, somewhat
ゆいいつ|唯一|only, sole, unique
ゆうき|勇気|courage, bravery
